application_number,child_application_number,child_filing_date,continuation_type
10141652,11694044,2007-03-30,CON
10141652,11694107,2007-03-30,CON
10141652,11694066,2007-03-30,CON
10141652,11005673,2004-12-06,CON
10141652,11694145,2007-03-30,CON
10141652,11693998,2007-03-30,CON
10141652,11006317,2004-12-06,CON
10141652,10418509,2003-04-16,CON
10141652,11006214,2004-12-06,CON
10141652,11005869,2004-12-06,CON
10141652,11006216,2004-12-06,CON
10141652,11006212,2004-12-06,CON
10141652,10903617,2004-07-29,CON
10141652,11006235,2004-12-06,CON
10141655,10314758,2002-12-09,DIV
10141655,10731448,2003-12-09,DIV
10141668,10980648,2004-11-03,CIP
10141668,PCT/US03/13843,2003-05-05,CON
10141668,12412986,2009-03-27,CIP
10141668,10429314,2003-05-05,CIP
10141670,11195579,2005-08-02,CON
10141670,11365756,2006-03-01,CON
10141671,PCT/US03/14241,2003-05-06,CON
10141673,PCT/US03/13957,2003-05-05,CON
10141677,11109857,2005-04-20,CON
10141677,12797106,2010-06-09,CIP
10141678,PCT/US03/12181,2003-04-21,CON
10141679,10731184,2003-12-09,CON
10141683,PCT/US03/14194,2003-05-07,CON
10141684,10940233,2004-09-13,CON
10141688,10886165,2004-07-06,CON
10141690,PCT/US03/14002,2003-05-02,CON
10141695,11385346,2006-03-20,DIV
10141695,PCT/US03/13700,2003-04-30,CON
10141695,10913084,2004-08-06,DIV
10141695,12790235,2010-05-28,DIV
10141703,11036869,2005-01-14,CON
10141714,PCT/US03/12089,2003-04-15,CON
10141718,10755016,2004-01-09,DIV
10141723,10303281,2002-11-25,DIV
10141723,10696268,2003-10-29,CIP
10141733,PCT/US03/14803,2003-05-08,CON
10141735,PCT/US03/10485,2003-04-02,CON
10141735,12220218,2008-07-22,DIV
10141736,PCT/US02/41791,2002-12-30,CON
10141737,12126882,2008-05-25,CON
10141737,11755684,2007-05-30,DIV
10141737,11831732,2007-07-31,DIV
10141749,11120592,2005-05-03,CON
10141765,10898327,2004-07-26,CON
10141765,10890323,2004-07-14,CON
10141766,11171259,2005-07-01,DIV
10141766,12232341,2008-09-16,DIV
10141768,11265515,2005-11-03,CON
10141768,11750827,2007-05-18,CON
10141769,10816893,2004-04-05,DIV
10141772,11338850,2006-01-25,CON
10141772,11031001,2005-01-10,DIV
10141772,11332285,2006-01-17,CON
10141773,11635790,2006-12-08,DIV
10141776,11777254,2007-07-12,CON
10141789,PCT/US03/05210,2003-02-20,CON
10141789,10715280,2003-11-17,CON
10141790,11754849,2007-05-29,DIV
10141797,10945952,2004-09-22,DIV
10141797,10513352,2005-06-21,CON
10141798,12924752,2010-10-04,DIV
10141798,12287044,2008-10-03,DIV
10141798,13632948,2012-10-01,DIV
10141798,PCT/US02/35325,2002-11-04,CON
10141800,11143905,2005-06-02,CIP
10141801,12342116,2008-12-23,CON
10141801,13953978,2013-07-30,CON
10141810,PCT/US03/14150,2003-05-06,CON
10141814,10621381,2003-07-18,CON
10141816,11543191,2006-10-05,CON
10141816,10922868,2004-08-23,CON
10141817,10668221,2003-09-24,DIV
10141818,11068042,2005-03-01,DIV
10141820,10237072,2002-09-09,CIP
10141826,11831003,2007-07-31,CON
10141828,11755283,2007-05-30,CON
10141828,11320801,2005-12-30,CON
10141828,PCT/US02/14620,2002-05-10,CON
10141829,11227569,2005-09-14,CON
10141830,PCT/US02/17769,2002-06-07,CON
10141839,11346758,2006-02-02,DIV
10141848,11528591,2006-09-28,DIV
10141849,PCT/US03/14634,2003-05-09,CON
10141849,10858447,2004-06-01,CIP
10141849,12965278,2010-12-10,CIP
10141853,11653265,2007-01-16,CON
10141853,12314441,2008-12-10,CON
10141854,11360862,2006-02-24,DIV
10141855,10608075,2003-06-30,DIV
10141860,11322204,2005-12-29,REI
10141861,10322613,2002-12-19,CON
10141866,11145169,2005-06-06,DIV
10141867,10882195,2004-07-02,CON
10141870,10655866,2003-09-05,CIP
10141875,11487369,2006-07-17,CON
10141878,PCT/IB03/01491,,CON
10141879,PCT/IB03/01777,2003-05-07,CON
10141881,11079216,2005-03-15,DIV
10141881,10681344,2003-10-09,DIV
10141881,10682489,2003-10-10,DIV
10141882,10963891,2004-10-13,CIP
10141894,PCT/US03/13017,2003-04-24,CON
10141896,12141165,2008-06-18,CON
10141896,11514868,2006-09-01,CON
10141903,10727683,2003-12-05,CIP
10141903,10887286,2004-07-08,CIP
10141906,10655337,2003-09-04,DIV
10141907,10625815,2003-07-22,CIP
10141909,11313028,2005-12-19,CON
10141909,PCT/US03/14782,2003-05-09,CON
10141910,10640437,2003-08-12,CIP
10141912,10830067,2004-04-23,DIV
10141916,11034749,2005-01-14,CON
10141916,11034743,2005-01-14,CON
10141919,11255357,2005-10-20,CON
10141919,11931786,2007-10-31,CON
10141919,11255296,2005-10-20,DIV
10141919,12020474,2008-01-25,CON
